,Weekday,hour_bin,number_of_agents,std
0,0.0,0.0,3,0.3840572873934305
1,0.0,1.0,3,0.414578098794425
2,0.0,2.0,2,0.7071067811865476
3,0.0,3.0,2,0.4330127018922193
4,0.0,4.0,2,0.7071067811865476
5,0.0,5.0,3,0.4330127018922193
6,0.0,6.0,7,4.763139720814412
7,0.0,7.0,24,3.6996621467371855
8,0.0,8.0,89,11.754487175117424
9,0.0,9.0,145,23.62599204266352
10,0.0,10.0,155,18.579760493612397
11,0.0,11.0,148,11.37837861911793
12,0.0,12.0,140,9.082951062292475
13,0.0,13.0,123,11.067971810589327
14,0.0,14.0,104,6.355460250839433
15,0.0,15.0,100,6.338128667043609
16,0.0,16.0,109,7.44003808233981
17,0.0,17.0,88,28.587617511782963
18,0.0,18.0,63,3.9866704988833304
19,0.0,19.0,51,6.227358990776105
20,0.0,20.0,43,4.6807822233278715
21,0.0,21.0,42,3.766629793329841
22,0.0,22.0,27,3.6742346141747673
23,0.0,23.0,20,2.0463381929681126
24,1.0,0.0,4,1.5252540771950096
25,1.0,1.0,3,0.5983681512617833
26,1.0,2.0,2,0.4521553322083513
27,1.0,3.0,2,0.4898979485566356
28,1.0,4.0,3,0.8
29,1.0,5.0,3,0.39999999999999997
30,1.0,6.0,13,4.454211490264018
31,1.0,7.0,32,7.413501197140255
32,1.0,8.0,101,10.170545708072897
33,1.0,9.0,112,32.52441817739063
34,1.0,10.0,128,31.165724762950724
35,1.0,11.0,145,24.5001224486736
36,1.0,12.0,136,12.716505459878162
37,1.0,13.0,117,13.110491981615334
38,1.0,14.0,108,10.56287839558896
39,1.0,15.0,91,17.31717195284624
40,1.0,16.0,94,15.885893113073623
41,1.0,17.0,76,10.157974426254697
42,1.0,18.0,56,6.761275356354335
43,1.0,19.0,48,8.899438184514795
44,1.0,20.0,47,6.339558344238185
45,1.0,21.0,37,6.899275324264136
46,1.0,22.0,28,5.6000000000000005
47,1.0,23.0,17,2.3323807579381204
48,2.0,0.0,3,0.9173875952943772
49,2.0,1.0,3,0.7177588576797765
50,2.0,2.0,3,0.6
51,2.0,3.0,2,0.4898979485566356
52,2.0,4.0,2,0.4898979485566356
53,2.0,5.0,3,1.019803902718557
54,2.0,6.0,9,2.6076809620810595
55,2.0,7.0,29,8.084553172563094
56,2.0,8.0,101,15.081114017207085
57,2.0,9.0,120,39.35733730830886
58,2.0,10.0,146,22.43908643416661
59,2.0,11.0,140,9.909086738948247
60,2.0,12.0,138,12.965430960828106
61,2.0,13.0,122,16.31563667161046
62,2.0,14.0,110,8.67179335547152
63,2.0,15.0,94,11.548160026601641
64,2.0,16.0,98,11.91476395066222
65,2.0,17.0,82,16.07624057766962
66,2.0,18.0,54,10.35460176818876
67,2.0,19.0,47,6.596483911903372
68,2.0,20.0,43,7.445804187594514
69,2.0,21.0,35,7.848566748139434
70,2.0,22.0,28,4.955804677345546
71,2.0,23.0,18,2.9393876913398134
72,3.0,0.0,5,2.53108672312902
73,3.0,1.0,4,2.151836425010042
74,3.0,2.0,2,1.2041594578792296
75,3.0,3.0,2,1.4966629547095767
76,3.0,4.0,3,0.4898979485566356
77,3.0,5.0,3,0.6324555320336759
78,3.0,6.0,11,0.9797958971132713
79,3.0,7.0,30,4.955804677345547
80,3.0,8.0,98,17.188368159892317
81,3.0,9.0,144,16.119553343687908
82,3.0,10.0,162,17.389939620366714
83,3.0,11.0,152,19.428958913036087
84,3.0,12.0,146,11.655041827466773
85,3.0,13.0,123,16.678129391511508
86,3.0,14.0,107,16.16639037564594
87,3.0,15.0,102,23.340094258592874
88,3.0,16.0,114,12.696204157148701
89,3.0,17.0,93,14.287631014272451
90,3.0,18.0,64,8.368894789636203
91,3.0,19.0,53,5.74108003776293
92,3.0,20.0,46,6.2289646009589745
93,3.0,21.0,36,10.283968105745954
94,3.0,22.0,26,2.870540018881465
95,3.0,23.0,19,1.9595917942265426
96,4.0,0.0,5,1.8875827796417302
97,4.0,1.0,3,0.816496580927726
98,4.0,2.0,3,0.414578098794425
99,4.0,3.0,2,1.0897247358851685
100,4.0,4.0,2,0.0
101,4.0,5.0,3,0.4242640687119285
102,4.0,6.0,7,2.277608394786075
103,4.0,7.0,20,5.11737237261468
104,4.0,8.0,51,11.923584821688484
105,4.0,9.0,80,14.593406045197264
106,4.0,10.0,80,16.36054705686824
107,4.0,11.0,78,15.526429080764194
108,4.0,12.0,65,16.361158271956175
109,4.0,13.0,46,13.294735800308331
110,4.0,14.0,34,7.1545440106270926
111,4.0,15.0,2,0.5
112,4.0,16.0,0,0.0
113,4.0,17.0,0,0.0
114,4.0,18.0,0,0.0
115,4.0,19.0,0,0.0
116,4.0,20.0,0,0.0
117,4.0,21.0,0,0.0
118,4.0,22.0,0,0.0
119,4.0,23.0,0,0.0
120,5.0,0.0,0,0.0
121,5.0,1.0,0,0.0
122,5.0,2.0,0,0.0
123,5.0,3.0,0,0.0
124,5.0,4.0,0,0.0
125,5.0,5.0,0,0.0
126,5.0,6.0,0,0.0
127,5.0,7.0,0,0.0
128,5.0,8.0,0,0.0
129,5.0,9.0,0,0.0
130,5.0,10.0,0,0.0
131,5.0,11.0,0,0.0
132,5.0,12.0,0,0.0
133,5.0,13.0,0,0.0
134,5.0,14.0,0,0.0
135,5.0,15.0,0,0.0
136,5.0,16.0,0,0.0
137,5.0,17.0,0,0.0
138,5.0,18.0,0,0.0
139,5.0,19.0,14,9.013878188659973
140,5.0,20.0,47,7.745536348977606
141,5.0,21.0,41,10.353139620424328
142,5.0,22.0,28,6.422616289332565
143,5.0,23.0,18,3.963268852853665
144,6.0,0.0,4,1.1143944544011337
145,6.0,1.0,3,0.3785938897200181
146,6.0,2.0,2,0.5
147,6.0,3.0,2,0.5
148,6.0,4.0,3,1.0897247358851685
149,6.0,5.0,2,0.5
150,6.0,6.0,10,3.6996621467371855
151,6.0,7.0,31,7.822243923581008
152,6.0,8.0,109,12.900460263106893
153,6.0,9.0,158,13.318220601867203
154,6.0,10.0,179,16.02425895322464
155,6.0,11.0,179,22.796655456447994
156,6.0,12.0,162,25.083610186733488
157,6.0,13.0,140,15.811388300841896
158,6.0,14.0,125,9.807522622966516
159,6.0,15.0,104,13.009611831257688
160,6.0,16.0,94,6.748842493346544
161,6.0,17.0,90,10.354816378006047
162,6.0,18.0,53,2.6084897450440554
163,6.0,19.0,47,5.339475629684997
164,6.0,20.0,46,5.048294541503872
165,6.0,21.0,41,5.731855429672549
166,6.0,22.0,27,3.416412592179112
167,6.0,23.0,16,1.7853571071357126
